Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn
balance.3,0.445,0.44999999999999996,0.5720333333333336,0.4188517672901333,0.1270333333333336,0.026148232709866714
balance.3,0.495,0.49999999999999994,0.5791333333333336,0.4354334406460822,0.08413333333333362,0.0595665593539178
balance.3,0.545,0.5499999999999999,0.4516999999999997,0.5204902981557996,0.09330000000000033,0.024509701844200427
balance.3,0.6,0.6,0.41056666666666675,0.5462128452608851,0.18943333333333323,0.053787154739114884
balance.3,0.65,0.65,0.3101666666666668,0.5815580146662516,0.3398333333333332,0.06844198533374846
balance.3,0.7,0.7,0.2114333333333334,0.6536099188882767,0.4885666666666666,0.04639008111172327
balance.3,0.75,0.75,0.2165333333333333,0.6322723551366702,0.5334666666666668,0.11772764486332976
balance.3,0.8,0.7999999999999999,0.14250000000000007,0.7483793842193244,0.6575,0.05162061578067567
balance.3,0.85,0.85,0.07986666666666667,0.8206217209742573,0.7701333333333333,0.029378279025742637
balance.3,0.9,0.9,0.06396666666666671,0.8151849393573909,0.8360333333333333,0.08481506064260913
balance.3,0.95,0.95,0.015299999999999911,0.9231057769431953,0.9347000000000001,0.026894223056804667
balance.3,0.05,0.05,0.9833000000000023,0.03781849846543424,0.9333000000000022,0.012181501534565764
balance.3,0.1,0.1,0.9826333333333352,0.0987070474120735,0.8826333333333353,0.0012929525879264991
balance.3,0.15,0.15,0.9786666666666687,0.10450983358104154,0.8286666666666687,0.04549016641895845
balance.3,0.2,0.2,0.9344666666666654,0.1922034452782947,0.7344666666666655,0.007796554721705318
balance.3,0.25,0.25,0.8741333333333322,0.25762693057740765,0.6241333333333322,0.0076269305774076535
balance.3,0.3,0.3,0.8263333333333345,0.29462689267132625,0.5263333333333344,0.005373107328673743
balance.3,0.35,0.35,0.7332666666666666,0.3665858157330692,0.38326666666666664,0.01658581573306922
balance.3,0.4,0.39999999999999997,0.6170333333333332,0.3813811267195358,0.2170333333333332,0.018618873280464243
balance.3,0.445,0.44999999999999996,0.6060333333333333,0.4198983200964821,0.1610333333333333,0.025101679903517915
balance.3,0.495,0.49999999999999994,0.5075333333333336,0.4863877788336114,0.012533333333333618,0.0086122211663886
balance.3,0.545,0.5499999999999999,0.47373333333333334,0.5014551321211677,0.0712666666666667,0.04354486787883238
balance.3,0.6,0.6,0.32226666666666687,0.5760562333321856,0.2777333333333331,0.023943766667814392
balance.3,0.65,0.65,0.3308000000000001,0.5953512192741629,0.31919999999999993,0.05464878072583712
balance.3,0.7,0.7,0.24980000000000027,0.6472848807132409,0.4501999999999997,0.05271511928675909
balance.3,0.75,0.75,0.18466666666666665,0.6796482322801013,0.5653333333333334,0.0703517677198987
balance.3,0.8,0.7999999999999999,0.15406666666666669,0.7312152107111257,0.6459333333333334,0.06878478928887433
balance.3,0.85,0.85,0.08286666666666663,0.8027468018036144,0.7671333333333333,0.047253198196385626
balance.3,0.9,0.9,0.061333333333333295,0.8515810953688268,0.8386666666666667,0.048418904631173265
balance.3,0.95,0.95,0.015299999999999911,0.9105167595893422,0.9347000000000001,0.03948324041065776
breast-cancer,0.05,0.05,0.9833000000000023,0.052575211137659936,0.9333000000000022,0.002575211137659933
breast-cancer,0.1,0.1,0.9827000000000021,0.10322273057995562,0.8827000000000021,0.0032227305799556183
breast-cancer,0.15,0.15,0.8605333333333338,0.13352585791796956,0.7105333333333338,0.016474142082030435
breast-cancer,0.2,0.2,0.8496666666666676,0.18052979960695464,0.6496666666666675,0.019470200393045367
breast-cancer,0.25,0.25,0.8076999999999999,0.12771818353505193,0.5576999999999999,0.12228181646494807
breast-cancer,0.3,0.3,0.7133999999999997,0.2061321090895057,0.4133999999999997,0.0938678909104943
breast-cancer,0.35,0.35,0.6572666666666669,0.277078731109501,0.3072666666666669,0.07292126889049899
breast-cancer,0.4,0.39999999999999997,0.6016666666666668,0.3492933681624216,0.20166666666666677,0.0507066318375784
breast-cancer,0.445,0.44999999999999996,0.5691000000000005,0.42824573485123674,0.12410000000000049,0.01675426514876327
