dataset,prevalencia_real,prev_dyssyn,erro_dyssyn,n_amostras
1497_wall-robot-navigation.csv,0.44,0.42188884187761255,0.01811115812238745,100
1497_wall-robot-navigation.csv,0.49,0.4774210038158351,0.012578996184164914,100
1497_wall-robot-navigation.csv,0.54,0.5379352264922219,0.002064773507778117,100
1497_wall-robot-navigation.csv,0.6,0.6024564423645071,0.00245644236450715,100
1497_wall-robot-navigation.csv,0.65,0.6175310813312653,0.03246891866873469,100
1497_wall-robot-navigation.csv,0.7,0.7297003586126847,0.02970035861268472,100
1497_wall-robot-navigation.csv,0.75,0.7400758481613748,0.009924151838625161,100
1497_wall-robot-navigation.csv,0.8,0.8010170681571731,0.0010170681571730622,100
1497_wall-robot-navigation.csv,0.85,0.8512306368394773,0.0012306368394773282,100
1497_wall-robot-navigation.csv,0.9,0.9010392127812019,0.0010392127812018925,100
1497_wall-robot-navigation.csv,0.95,0.9492764433546995,0.0007235566453004383,100
1504_steel-plates-fault.csv,0.05,0.040468601798554826,0.009531398201445176,100
1504_steel-plates-fault.csv,0.1,0.09552060918322153,0.004479390816778478,100
1504_steel-plates-fault.csv,0.15,0.11878116880405265,0.031218831195947344,100
1504_steel-plates-fault.csv,0.2,0.1999610831347991,3.8916865200910866e-05,100
1504_steel-plates-fault.csv,0.25,0.23052911382864544,0.019470886171354562,100
1504_steel-plates-fault.csv,0.3,0.3104844617336941,0.010484461733694106,100
1504_steel-plates-fault.csv,0.35,0.3534628946739634,0.0034628946739634348,100
1504_steel-plates-fault.csv,0.4,0.39046271137232424,0.009537288627675777,100
1504_steel-plates-fault.csv,0.44,0.48990762462731396,0.04990762462731396,100
1504_steel-plates-fault.csv,0.49,0.5227836478672722,0.03278364786727217,100
1504_steel-plates-fault.csv,0.54,0.5562599824808654,0.016259982480865354,100
1504_steel-plates-fault.csv,0.6,0.6185854589849284,0.01858545898492847,100
1504_steel-plates-fault.csv,0.65,0.6894208644289546,0.03942086442895454,100
1504_steel-plates-fault.csv,0.7,0.7056146648401509,0.00561466484015094,100
1504_steel-plates-fault.csv,0.75,0.825560298381489,0.07556029838148903,100
1504_steel-plates-fault.csv,0.8,0.8154797073941807,0.015479707394180697,100
1504_steel-plates-fault.csv,0.85,0.898970724310488,0.04897072431048799,100
1504_steel-plates-fault.csv,0.9,0.9279162730156959,0.02791627301569588,100
1504_steel-plates-fault.csv,0.95,0.9766134384303523,0.026613438430352354,100
1507_twonorm.csv,0.05,0.043324000600139634,0.006675999399860369,100
1507_twonorm.csv,0.1,0.08081749861008442,0.01918250138991559,100
1507_twonorm.csv,0.15,0.12180647323448174,0.028193526765518256,100
1507_twonorm.csv,0.2,0.1523462917090989,0.0476537082909011,100
1507_twonorm.csv,0.25,0.2173429825393972,0.03265701746060279,100
1507_twonorm.csv,0.3,0.2911731467063902,0.008826853293609771,100
1507_twonorm.csv,0.35,0.3587107327664913,0.008710732766491314,100
1507_twonorm.csv,0.4,0.4066784707615979,0.006678470761597888,100
1507_twonorm.csv,0.44,0.4031326315392637,0.036867368460736294,100
1507_twonorm.csv,0.49,0.49471017365564923,0.004710173655649241,100
1507_twonorm.csv,0.54,0.5251921936889156,0.01480780631108447,100
1507_twonorm.csv,0.6,0.5955955613102679,0.00440443868973206,100
1507_twonorm.csv,0.65,0.6830941535676769,0.033094153567676865,100
1507_twonorm.csv,0.7,0.7052130080396143,0.005213008039614331,100
1507_twonorm.csv,0.75,0.7720421662472573,0.0220421662472573,100
1507_twonorm.csv,0.8,0.861333708393369,0.061333708393368935,100
1507_twonorm.csv,0.85,0.868280210860656,0.01828021086065601,100
1507_twonorm.csv,0.9,0.9070193449906164,0.007019344990616405,100
1507_twonorm.csv,0.95,0.9677491530896847,0.01774915308968472,100
1526_wall-robot-navigation.csv,0.05,0.05554064828858746,0.005540648288587455,100
1526_wall-robot-navigation.csv,0.1,0.10368439606163504,0.003684396061635037,100
1526_wall-robot-navigation.csv,0.15,0.15137127300733316,0.001371273007333168,100
1526_wall-robot-navigation.csv,0.2,0.2036633343264706,0.003663334326470591,100
1526_wall-robot-navigation.csv,0.25,0.24822468133291814,0.00177531866708186,100
1526_wall-robot-navigation.csv,0.3,0.3147127668000813,0.014712766800081323,100
1526_wall-robot-navigation.csv,0.35,0.3511973575776227,0.0011973575776227374,100
1526_wall-robot-navigation.csv,0.4,0.4250805053389894,0.025080505338989367,100
1526_wall-robot-navigation.csv,0.44,0.44162429546171383,0.0016242954617138317,100
1526_wall-robot-navigation.csv,0.49,0.4854450867224487,0.004554913277551309,100
1526_wall-robot-navigation.csv,0.54,0.5231059565929607,0.016894043407039372,100
1526_wall-robot-navigation.csv,0.6,0.6068158454472751,0.006815845447275093,100
1526_wall-robot-navigation.csv,0.65,0.6501041466367735,0.00010414663677349445,100
1526_wall-robot-navigation.csv,0.7,0.6989551596926553,0.001044840307344641,100
1526_wall-robot-navigation.csv,0.75,0.737064289602034,0.012935710397966038,100
1526_wall-robot-navigation.csv,0.8,0.7965879445478435,0.003412055452156504,100
1526_wall-robot-navigation.csv,0.85,0.8419126371401893,0.00808736285981071,100
1526_wall-robot-navigation.csv,0.9,0.8954497908118527,0.004550209188147303,100
1526_wall-robot-navigation.csv,0.95,0.940762997240108,0.009237002759891921,100
1535_volcanoes-b5.csv,0.05,0.7004805788445189,0.6504805788445188,100
1535_volcanoes-b5.csv,0.1,0.6389334506277453,0.5389334506277453,100
1535_volcanoes-b5.csv,0.15,0.8729511302568244,0.7229511302568243,100
1535_volcanoes-b5.csv,0.2,0.6335517571868319,0.43355175718683187,100
1535_volcanoes-b5.csv,0.25,0.7242826240688228,0.4742826240688228,100
1535_volcanoes-b5.csv,0.3,0.7848031354323709,0.4848031354323709,100
1535_volcanoes-b5.csv,0.35,0.8269323076296297,0.4769323076296297,100
1535_volcanoes-b5.csv,0.4,0.7430066357918522,0.3430066357918522,100
1535_volcanoes-b5.csv,0.44,0.8024147472417279,0.3624147472417279,100
1535_volcanoes-b5.csv,0.49,0.846369150519358,0.356369150519358,100
1535_volcanoes-b5.csv,0.54,0.8669158373011436,0.3269158373011436,100
1535_volcanoes-b5.csv,0.6,0.8855319374778817,0.28553193747788175,100
1535_volcanoes-b5.csv,0.65,0.9068313895782278,0.2568313895782278,100
1535_volcanoes-b5.csv,0.7,0.9766997586938195,0.2766997586938196,100
1535_volcanoes-b5.csv,0.75,0.9577737214152802,0.20777372141528017,100
1535_volcanoes-b5.csv,0.8,0.9704909744220019,0.1704909744220019,100
1535_volcanoes-b5.csv,0.85,0.9851353428104273,0.13513534281042727,100
1535_volcanoes-b5.csv,0.9,0.9380920235685892,0.038092023568589206,100
1535_volcanoes-b5.csv,0.95,0.9970888665178428,0.04708886651784283,100
1538_volcanoes-d1.csv,0.05,0.9984695556513472,0.9484695556513472,100
1538_volcanoes-d1.csv,0.1,0.9994500563859742,0.8994500563859742,100
1538_volcanoes-d1.csv,0.15,0.9989147315262452,0.8489147315262452,100
1538_volcanoes-d1.csv,0.2,0.9990275047736784,0.7990275047736783,100
1538_volcanoes-d1.csv,0.25,0.9960250475853629,0.7460250475853629,100
1538_volcanoes-d1.csv,0.3,0.9954752780041264,0.6954752780041265,100
1538_volcanoes-d1.csv,0.35,0.9961823732268438,0.6461823732268438,100
1538_volcanoes-d1.csv,0.4,0.9982246915168741,0.5982246915168741,100
1538_volcanoes-d1.csv,0.44,0.9964701799520637,0.5564701799520637,100
1538_volcanoes-d1.csv,0.49,0.9974400646865466,0.5074400646865466,100
1538_volcanoes-d1.csv,0.54,0.994326465808197,0.4543264658081969,100
1538_volcanoes-d1.csv,0.6,0.996681629791001,0.39668162979100097,100
1538_volcanoes-d1.csv,0.65,0.9949778922924536,0.34497789229245357,100
1538_volcanoes-d1.csv,0.7,0.9973426063245674,0.29734260632456744,100
1538_volcanoes-d1.csv,0.75,0.9969983694674334,0.24699836946743337,100
1538_volcanoes-d1.csv,0.8,0.9973426063245674,0.19734260632456735,100
1538_volcanoes-d1.csv,0.85,0.9976319358366932,0.1476319358366932,100
1538_volcanoes-d1.csv,0.9,0.9976096596396694,0.09760965963966939,100
1538_volcanoes-d1.csv,0.95,0.9974428492111747,0.0474428492111747,100
1539_volcanoes-d2.csv,0.05,0.9967568119559563,0.9467568119559563,100
1539_volcanoes-d2.csv,0.1,0.9729559598929773,0.8729559598929774,100
1539_volcanoes-d2.csv,0.15,0.9881888405527145,0.8381888405527145,100
1539_volcanoes-d2.csv,0.2,0.9847053948045884,0.7847053948045883,100
1539_volcanoes-d2.csv,0.25,0.9935557616010093,0.7435557616010093,100
1539_volcanoes-d2.csv,0.3,0.9951129417369106,0.6951129417369106,100
1539_volcanoes-d2.csv,0.35,0.9949778922924536,0.6449778922924536,100
1539_volcanoes-d2.csv,0.4,0.9923286999122143,0.5923286999122143,100
1539_volcanoes-d2.csv,0.44,0.9968062372681029,0.5568062372681029,100
1539_volcanoes-d2.csv,0.49,0.9922660481080847,0.5022660481080847,100
1539_volcanoes-d2.csv,0.54,0.980392288522654,0.440392288522654,100
1539_volcanoes-d2.csv,0.6,0.9884707736712973,0.38847077367129734,100
1539_volcanoes-d2.csv,0.65,0.9928279564763715,0.34282795647637143,100
1539_volcanoes-d2.csv,0.7,0.9970610212715629,0.297061021271563,100
1539_volcanoes-d2.csv,0.75,0.9935891758965452,0.24358917589654516,100
1539_volcanoes-d2.csv,0.8,0.9854559112082233,0.18545591120822325,100
1539_volcanoes-d2.csv,0.85,0.9968062372681029,0.14680623726810293,100
1539_volcanoes-d2.csv,0.9,0.9975692840325636,0.0975692840325636,100
1539_volcanoes-d2.csv,0.95,0.9977506261989608,0.047750626198960866,100
1540_volcanoes-d3.csv,0.05,0.998360959190856,0.948360959190856,100
1540_volcanoes-d3.csv,0.1,0.9999554476059523,0.8999554476059524,100
1540_volcanoes-d3.csv,0.15,0.9959610035189194,0.8459610035189193,100
1540_volcanoes-d3.csv,0.2,0.9977506261989608,0.7977506261989609,100
1540_volcanoes-d3.csv,0.25,0.9976319358366932,0.7476319358366932,100
1540_volcanoes-d3.csv,0.3,0.9998106523252974,0.6998106523252974,100
1540_volcanoes-d3.csv,0.35,0.9944696295314529,0.6444696295314529,100
1540_volcanoes-d3.csv,0.4,0.9954112339376828,0.5954112339376828,100
1540_volcanoes-d3.csv,0.44,0.9972298330771342,0.5572298330771341,100
1540_volcanoes-d3.csv,0.49,0.9962982355562859,0.506298235556286,100
1540_volcanoes-d3.csv,0.54,0.9972924848812638,0.4572924848812637,100
1540_volcanoes-d3.csv,0.6,0.9946105960907443,0.39461059609074434,100
1540_volcanoes-d3.csv,0.65,0.9959498654204075,0.3459498654204075,100
1540_volcanoes-d3.csv,0.7,0.996925971827106,0.296925971827106,100
1540_volcanoes-d3.csv,0.75,0.9973426063245674,0.2473426063245674,100
1540_volcanoes-d3.csv,0.8,0.9969760932704096,0.19697609327040955,100
1540_volcanoes-d3.csv,0.85,0.9979357970867214,0.14793579708672144,100
1540_volcanoes-d3.csv,0.9,0.9972298330771342,0.09722983307713418,100
1540_volcanoes-d3.csv,0.95,0.9974428492111747,0.0474428492111747,100
1541_volcanoes-d4.csv,0.05,0.9989425767725251,0.948942576772525,100
1541_volcanoes-d4.csv,0.1,0.9991221786110297,0.8991221786110297,100
1541_volcanoes-d4.csv,0.15,0.9999554476059523,0.8499554476059523,100
1541_volcanoes-d4.csv,0.2,0.9999554476059523,0.7999554476059523,100
1541_volcanoes-d4.csv,0.25,0.9998552047193451,0.7498552047193451,100
1541_volcanoes-d4.csv,0.3,0.998360959190856,0.698360959190856,100
1541_volcanoes-d4.csv,0.35,0.9976096596396694,0.6476096596396694,100
1541_volcanoes-d4.csv,0.4,0.9967233976604205,0.5967233976604205,100
1541_volcanoes-d4.csv,0.44,0.9970610212715629,0.557061021271563,100
1541_volcanoes-d4.csv,0.49,0.9977729023959846,0.5077729023959846,100
1541_volcanoes-d4.csv,0.54,0.9976820572799968,0.4576820572799968,100
1541_volcanoes-d4.csv,0.6,0.9972298330771342,0.3972298330771342,100
1541_volcanoes-d4.csv,0.65,0.9969983694674334,0.34699836946743334,100
1541_volcanoes-d4.csv,0.7,0.9972924848812638,0.2972924848812638,100
1541_volcanoes-d4.csv,0.75,0.9976096596396694,0.2476096596396694,100
