arquivo_moss,dataset,prevalencia_real,prev_moss,erro_moss,erro_dys,n_amostras,var_scores,entropy,prev_dyssyn,erro_dyssyn
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.44,0.344893333,0.095106667,0.068,100,0.123852383,2.599449875,0.350446841,0.089553159
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.49,0.415842,0.074158,0.026,100,0.115537177,2.819409251,0.480320204,0.009679796
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.54,0.538871333,0.001128667,0.027,100,0.1196372,2.780891465,0.47271181,0.06728819
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.6,0.538871333,0.061128667,0.018,100,0.114722509,2.813507491,0.515302534,0.084697466
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.65,0.667844667,0.017844667,0.019,100,0.098666955,2.821385838,0.575277828,0.074722172
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.7,0.594629,0.105371,0.081,100,0.110449334,2.816797674,0.595123758,0.104876242
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.75,0.679180333,0.070819667,0.064,100,0.089329024,2.880908788,0.604676671,0.145323329
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.8,0.643889667,0.156110333,0.155,100,0.100583302,2.900483907,0.759810253,0.040189747
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.85,0.768282,0.081718,0.081,100,0.085105692,2.739510493,0.767122904,0.082877096
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.9,0.792667667,0.107332333,0.087,100,0.087097044,2.6638841,0.827660113,0.072339887
moss_5_95.pkl,1475_first-order-theorem-proving.csv,0.95,0.851708,0.098292,0.06,100,0.070705372,2.679228411,0.994723369,0.044723369
moss_5_95.pkl,1479_hill-valley.csv,0.05,0.011673333,0.038326667,0.219,100,0.042066234,2.759008092,0.1572282,0.1072282
moss_5_95.pkl,1479_hill-valley.csv,0.1,0.013515333,0.086484667,0.147,100,0.044481111,2.771036535,0.467887353,0.367887353
moss_5_95.pkl,1479_hill-valley.csv,0.15,0.506700667,0.356700667,0.2,100,0.041847444,2.728658551,0.222926649,0.072926649
moss_5_95.pkl,1479_hill-valley.csv,0.2,0.011589667,0.188410333,0.132,100,0.03587256,2.66610547,4.46E-05,0.199955448
moss_5_95.pkl,1479_hill-valley.csv,0.25,0.523453,0.273453,0.126,100,0.045471462,2.804072025,0.353749527,0.103749527
moss_5_95.pkl,1479_hill-valley.csv,0.3,0.012595,0.287405,0.014,100,0.043696412,2.808816396,0.989966781,0.689966781
moss_5_95.pkl,1479_hill-valley.csv,0.35,0.803046667,0.453046667,0.221,100,0.037510018,2.735212369,0.365712323,0.015712323
moss_5_95.pkl,1479_hill-valley.csv,0.4,0.014855333,0.385144667,0.043,100,0.050557707,2.815471745,4.46E-05,0.399955448
moss_5_95.pkl,1479_hill-valley.csv,0.44,0.012343333,0.427656667,0.219,100,0.044502012,2.868430273,0.519036483,0.079036483
moss_5_95.pkl,1479_hill-valley.csv,0.49,0.802963,0.312963,0.139,100,0.038765307,2.771196167,0.139617866,0.350382134
moss_5_95.pkl,1479_hill-valley.csv,0.54,0.513402,0.026598,0.027,100,0.044937532,2.842365949,0.549492066,0.009492066
moss_5_95.pkl,1479_hill-valley.csv,0.6,0.012009,0.587991,0.402,100,0.04396491,2.80282374,4.46E-05,0.599955448
moss_5_95.pkl,1479_hill-valley.csv,0.65,0.013264333,0.636735667,0.385,100,0.045220129,2.690013037,0.426020606,0.223979394
moss_5_95.pkl,1479_hill-valley.csv,0.7,0.513066667,0.186933333,0.287,100,0.040466083,2.828696107,0.156330016,0.543669984
moss_5_95.pkl,1479_hill-valley.csv,0.75,0.01427,0.73573,0.359,100,0.051390083,2.811143998,0.889185484,0.139185484
