Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn,Tempo_Regressor,Tempo_DySsyn,Tempo_Médio_Regressor,Tempo_Médio_DySsyn
pageblocks.5,0.85,0.85,0.4084566666666661,0.45003217161230097,0.4415433333333339,0.399967828387699,0.012573099986184388,0.11493169999448583,0.010493163160342527,0.11485208157989148
pageblocks.5,0.9,0.9,0.4092533333333326,0.41795599876977163,0.49074666666666744,0.4820440012302284,0.01067779998993501,0.11535470001399517,0.010493163160342527,0.11485208157989148
pageblocks.5,0.95,0.95,0.8396766666666657,0.5485907613116208,0.11032333333333422,0.4014092386883792,0.010650700016412884,0.1176720000221394,0.010493163160342527,0.11485208157989148
semeion,0.05,0.05,0.039453333333333306,4.4552394047661854e-05,0.010546666666666697,0.049955447605952344,0.011393799970392138,0.11619630001951009,0.010334381579396952,0.11626681578988944
semeion,0.1,0.1,0.035359999999999926,4.4552394047661854e-05,0.06464000000000009,0.09995544760595235,0.010784099984448403,0.11600340000586584,0.010334381579396952,0.11626681578988944
semeion,0.15,0.15,0.0330799999999999,0.03164651804964912,0.1169200000000001,0.11835348195035088,0.011183499998878688,0.11719670001184568,0.010334381579396952,0.11626681578988944
semeion,0.2,0.2,0.032059999999999894,4.4552394047661854e-05,0.16794000000000012,0.19995544760595235,0.012268199992831796,0.16039780003484339,0.010334381579396952,0.11626681578988944
semeion,0.25,0.25,0.11574999999999994,0.11218724317147177,0.13425000000000006,0.13781275682852823,0.010110199975315481,0.11734569998225197,0.010334381579396952,0.11626681578988944
semeion,0.3,0.3,0.1178933333333333,0.10689610320566112,0.1821066666666667,0.19310389679433887,0.010607800038997084,0.11527889996068552,0.010334381579396952,0.11626681578988944
semeion,0.35,0.35,0.11641666666666663,0.12964422616776577,0.23358333333333337,0.2203557738322342,0.010765900020487607,0.11767550004879013,0.010334381579396952,0.11626681578988944
semeion,0.4,0.39999999999999997,0.11969000000000003,0.154294942288841,0.28031,0.24570505771115903,0.011345100007019937,0.1187324000056833,0.010334381579396952,0.11626681578988944
semeion,0.445,0.44999999999999996,0.2192566666666669,0.17101205377380646,0.2257433333333331,0.27398794622619355,0.010973599972203374,0.11815140000544488,0.010334381579396952,0.11626681578988944
