dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy
1475_first-order-theorem-proving.csv,0.6,0.11098233333333363,0.06999999999999995,100,0.10385832482802554,2.8835141672467137
1475_first-order-theorem-proving.csv,0.65,0.09983366666666582,0.062000000000000055,100,0.10014834678464567,2.902177396432802
1475_first-order-theorem-proving.csv,0.7,0.05585466666666439,0.050999999999999934,100,0.11263812011604149,2.8335062504395347
1475_first-order-theorem-proving.csv,0.75,0.1782346666666661,0.14400000000000002,100,0.1026149837750706,2.8028632209718323
1475_first-order-theorem-proving.csv,0.8,0.06782633333333421,0.062000000000000055,100,0.09755277352355694,2.7318334083998748
1475_first-order-theorem-proving.csv,0.85,0.11411766666666545,0.10999999999999999,100,0.10015894787788328,2.735644166687008
1475_first-order-theorem-proving.csv,0.9,0.1049073333333358,0.07399999999999995,100,0.09016539908904006,2.484882968306307
1475_first-order-theorem-proving.csv,0.95,0.20155033333333205,0.11999999999999988,100,0.08784496489957165,2.6563430357644835
1479_hill-valley.csv,0.05,0.033552666666666786,0.029,100,0.051630998888888884,2.7697151984327872
1479_hill-valley.csv,0.1,0.08439266666666678,0.091,100,0.04688855444444446,2.7588001642366424
1479_hill-valley.csv,0.15,0.13774066666666676,0.263,100,0.04142363888888889,2.6781375401477834
1479_hill-valley.csv,0.2,0.18623233333333344,0.064,100,0.049450493333333324,2.746719488402366
1479_hill-valley.csv,0.25,0.23564566666666678,0.09400000000000003,100,0.04905196777777778,2.7918360528224664
1479_hill-valley.csv,0.3,0.2828020000000001,0.3,100,0.04857868777777778,2.7889227574360693
1479_hill-valley.csv,0.35,0.014754999999999241,0.14700000000000002,100,0.04809744333333334,2.9077645538072834
1479_hill-valley.csv,0.4,0.5882423333333372,0.265,100,0.04230499888888889,2.7087778669981506
1479_hill-valley.csv,0.44,0.07862366666666615,0.05299999999999999,100,0.04597028777777777,2.761523875395911
1479_hill-valley.csv,0.49,0.4762323333333334,0.10299999999999998,100,0.05518832333333333,2.923481017819996
1479_hill-valley.csv,0.54,0.17049933333333278,0.22499999999999998,100,0.035963848888888886,2.80418800588493
1479_hill-valley.csv,0.6,0.04480133333333347,0.10599999999999998,100,0.041742750000000016,2.7746861181881175
1479_hill-valley.csv,0.65,0.6363166666666668,0.34700000000000003,100,0.05377386111111111,2.877109776869768
1479_hill-valley.csv,0.7,0.20326666666666632,0.18599999999999994,100,0.03935121222222222,2.706802753654336
1479_hill-valley.csv,0.75,0.19446666666666634,0.126,100,0.04793037666666667,2.7875156484025636
1479_hill-valley.csv,0.8,0.4299126666666663,0.44500000000000006,100,0.050840083333333334,2.8106889358888028
1479_hill-valley.csv,0.85,0.13757233333333696,0.125,100,0.044440426666666664,2.877220766583785
1479_hill-valley.csv,0.9,0.8852263333333334,0.487,100,0.049817826666666676,2.8091389330851526
1479_hill-valley.csv,0.95,0.5088803333333326,0.5419999999999999,100,0.04833646555555556,2.8787648283064726
1479_hill-valley.csv,0.05,0.03623333333333344,0.247,100,0.04438082111111111,2.779808754153408
1479_hill-valley.csv,0.1,0.08112566666666679,0.089,100,0.05266651000000001,2.7797300899859807
1479_hill-valley.csv,0.15,0.21966900000000053,0.58,100,0.043908305555555555,2.845172745182104
1479_hill-valley.csv,0.2,0.1873210000000001,0.05000000000000002,100,0.04441882666666666,2.743339126560225
1479_hill-valley.csv,0.25,0.23698600000000009,0.044999999999999984,100,0.04496768444444444,2.815713887985507
1479_hill-valley.csv,0.3,0.2879920000000001,0.02799999999999997,100,0.038272643333333335,2.7025261656875874
1479_hill-valley.csv,0.35,0.6384103333333372,0.504,100,0.037041373333333336,2.6293707374632147
1479_hill-valley.csv,0.4,0.38497933333333345,0.131,100,0.04380887111111111,2.7501981807494658
1479_hill-valley.csv,0.44,0.42514366666666675,0.15599999999999997,100,0.036431328888888885,2.7090511064907137
1479_hill-valley.csv,0.49,0.47531433333333345,0.15099999999999997,100,0.043599576666666674,2.896867395069282
1479_hill-valley.csv,0.54,0.4485776666666704,0.039999999999999925,100,0.04213058222222223,2.8833241147534774
1479_hill-valley.csv,0.6,0.38799133333333713,0.07300000000000006,100,0.043011684444444455,2.8161054590803904
1479_hill-valley.csv,0.65,0.33841033333333714,0.18899999999999995,100,0.03297415111111111,2.716335076957432
1479_hill-valley.csv,0.7,0.06916599999999928,0.10899999999999999,100,0.03846851,2.795054982902585
1479_hill-valley.csv,0.75,0.3047800000000003,0.457,100,0.04108362111111111,2.773611893117269
1479_hill-valley.csv,0.8,0.13716866666666627,0.126,100,0.04110541666666667,2.8120258668822498
1479_hill-valley.csv,0.85,0.8363166666666667,0.48,100,0.04396122666666666,2.8040530053693105
1479_hill-valley.csv,0.9,0.3447176666666668,0.352,100,0.03648179888888889,2.7522132749565293
1479_hill-valley.csv,0.95,0.03882866666667062,0.30699999999999994,100,0.041408417777777776,2.819595409831674
1485_madelon.csv,0.05,0.03983266666666674,0.109,100,0.008641448888888887,2.5546908200611074
1485_madelon.csv,0.1,0.08974900000000008,0.745,100,0.007733532222222223,2.464023774207594
1485_madelon.csv,0.15,0.13983266666666674,0.11399999999999999,100,0.008603043333333334,2.65755575637861
1485_madelon.csv,0.2,0.18983266666666676,0.133,100,0.008652666666666668,2.6813837194934345
1485_madelon.csv,0.25,0.23983266666666675,0.238,100,0.007002234444444444,2.7289151219130696
1485_madelon.csv,0.3,0.28983266666666674,0.17800000000000005,100,0.009800749999999999,2.7179716090312884
1485_madelon.csv,0.35,0.3398326666666667,0.26899999999999996,100,0.009205071111111112,2.596392950489638
1485_madelon.csv,0.4,0.3899163333333334,0.09200000000000003,100,0.008767221111111112,2.708919952834233
1485_madelon.csv,0.44,0.42983266666666675,0.218,100,0.00947787888888889,2.6306306998962263
1485_madelon.csv,0.49,0.43736600000000014,0.118,100,0.007431638888888889,2.675722958710284
1485_madelon.csv,0.54,0.09544966666666688,0.016000000000000014,100,0.009572728888888889,2.7853089949160026
1485_madelon.csv,0.6,0.15553333333333347,0.02100000000000002,100,0.010397173333333332,2.7718957240140707
1485_madelon.csv,0.65,0.2055333333333335,0.478,100,0.008868527777777777,2.6875373383249115
1485_madelon.csv,0.7,0.06933333333333258,0.028999999999999915,100,0.010694305555555554,2.8524427887763086
1485_madelon.csv,0.75,0.11933333333333263,0.253,100,0.010025351111111112,2.740876648124434
1485_madelon.csv,0.8,0.16933333333333267,0.020000000000000018,100,0.010188395555555554,2.7431315972195733
1485_madelon.csv,0.85,0.40553333333333347,0.15000000000000002,100,0.008122222222222222,2.722591769368132
1485_madelon.csv,0.9,0.26933333333333265,0.09999999999999998,100,0.009632021111111111,2.7028235479399063
1485_madelon.csv,0.95,0.3193333333333326,0.001000000000000112,100,0.009084222222222221,2.7999868207444045
1485_madelon.csv,0.05,0.03983266666666674,0.051000000000000004,100,0.005087982222222223,2.539377696009811
1485_madelon.csv,0.1,0.08974900000000008,0.036000000000000004,100,0.006831106666666667,2.681331416912675
