,dataset,prevalencia_real,erro_moss,erro_dys,n_amostras,var_scores,entropy,gap_dys
1101,4538_GesturePhaseSegmentationProcessed.csv,0.95,0.938745,0.1099999999999999,100,0.0399083055555555,2.736514686403197,0.8287450000000002
1102,60_waveform-5000.csv,0.05,0.0261893333333334,0.009,100,0.0427662344444444,2.3433988648670403,0.017189333333333404
1103,60_waveform-5000.csv,0.1,0.0465833333333335,0.1,100,0.0503597988888888,2.318928675056242,-0.05341666666666651
1104,60_waveform-5000.csv,0.15,0.0209260000000005,0.0099999999999999,100,0.06765164,2.5673705244821123,0.0109260000000006
1105,60_waveform-5000.csv,0.2,0.0669936666666672,0.013,100,0.0672054344444444,2.640836983230829,0.0539936666666672
1106,60_waveform-5000.csv,0.25,0.0423366666666677,0.003,100,0.0803747777777777,2.5520760725694034,0.0393366666666677
1107,60_waveform-5000.csv,0.3,0.0949320000000011,0.124,100,0.0812365277777777,2.502155022325435,-0.0290679999999989
1108,60_waveform-5000.csv,0.35,0.1039540000000006,0.0359999999999999,100,0.0837976711111111,2.7117948102090685,0.06795400000000071
1109,60_waveform-5000.csv,0.4,0.1731310000000013,0.067,100,0.0879904622222222,2.686193464054613,0.10613100000000131
1110,60_waveform-5000.csv,0.44,0.207279,0.022,100,0.1051098344444444,2.6173153714505863,0.185279
1111,60_waveform-5000.csv,0.49,0.1920253333333335,0.037,100,0.0975259322222221,2.8093573946064168,0.1550253333333335
1112,60_waveform-5000.csv,0.54,0.1976283333333344,0.021,100,0.1027329999999999,2.791595117475734,0.17662833333333441
1113,60_waveform-5000.csv,0.6,0.3851186666666669,0.061,100,0.0803159322222222,2.88368498833578,0.3241186666666669
1114,60_waveform-5000.csv,0.65,0.2473306666666669,0.0689999999999999,100,0.0826472566666666,2.9077634095656606,0.178330666666667
1115,60_waveform-5000.csv,0.7,0.0749559999999991,0.029,100,0.0957300655555555,2.7912142727328195,0.04595599999999911
1116,60_waveform-5000.csv,0.75,0.1285596666666667,0.065,100,0.0793123155555555,2.8755162752959293,0.06355966666666671
1117,60_waveform-5000.csv,0.8,0.0064253333333341,0.0399999999999999,100,0.0731020622222222,2.813749377871244,-0.033574666666665795
1118,60_waveform-5000.csv,0.85,0.0361553333333307,0.07,100,0.0672754788888888,2.7616733031228224,-0.033844666666669306
