dataset,prevalencia_real,prev_moss_A,prev_moss_B,erro_moss_A,erro_moss_B,erro_dys,n_amostras,var_scores,entropy
1466_cardiotocography.csv,0.3,0.3090079999999996,0.30624733333333276,0.009007999999999627,0.006247333333332772,0.20600000000000002,100,0.18603028777777778,1.091757202571746
1466_cardiotocography.csv,0.35,0.3454813333333323,0.34564933333333236,0.00451866666666767,0.004350666666667613,0.21700000000000008,100,0.20265451,1.093158870863955
1466_cardiotocography.csv,0.4,0.38790999999999815,0.38816166666666474,0.012090000000001877,0.011838333333335282,0.21899999999999997,100,0.20698131,1.2968474834090284
1466_cardiotocography.csv,0.44,0.425151333333333,0.4248166666666663,0.01484866666666701,0.015183333333333715,0.24000000000000005,100,0.2202116266666667,1.191039849710935
1466_cardiotocography.csv,0.49,0.46204899999999927,0.4619653333333326,0.027951000000000725,0.028034666666667374,0.20900000000000007,100,0.22205976000000002,1.3120629294649073
1466_cardiotocography.csv,0.54,0.5377000000000007,0.5377836666666674,0.0022999999999993026,0.0022163333333325985,0.18799999999999994,100,0.21507952333333333,1.4870821774056422
1466_cardiotocography.csv,0.6,0.5899173333333326,0.5897486666666658,0.01008266666666735,0.010251333333334167,0.17500000000000004,100,0.21321810666666663,1.3279399719410763
1466_cardiotocography.csv,0.65,0.6445586666666686,0.644559000000002,0.005441333333331411,0.005440999999998031,0.17600000000000005,100,0.20218064000000002,1.45797032530425
1466_cardiotocography.csv,0.7,0.6889183333333364,0.688750000000003,0.011081666666663548,0.011249999999996985,0.16200000000000003,100,0.19093183444444445,1.1727751898433763
1466_cardiotocography.csv,0.75,0.7601186666666685,0.7593656666666685,0.010118666666668497,0.009365666666668493,0.135,100,0.16551608333333337,1.3831776285655588
1466_cardiotocography.csv,0.8,0.8118409999999974,0.8120079999999975,0.011840999999997326,0.012007999999997465,0.10999999999999999,100,0.14654614555555556,1.2198385312199354
1466_cardiotocography.csv,0.85,0.8394536666666699,0.8394540000000031,0.010546333333330105,0.010545999999996836,0.07900000000000007,100,0.11987420444444444,1.2120071938351777
1466_cardiotocography.csv,0.9,0.8879916666666651,0.8887443333333321,0.012008333333334953,0.011255666666667885,0.06399999999999995,100,0.08384482666666669,1.1588018262404236
1466_cardiotocography.csv,0.95,0.9396999999999965,0.9399533333333301,0.010300000000003418,0.010046666666669868,0.03500000000000003,100,0.04813559555555555,1.287431465061227
1466_cardiotocography.csv,0.05,0.0415679999999999,0.019960999999999878,0.008432000000000106,0.030039000000000125,0.021000000000000005,100,0.043319960000000005,0.4855173244495299
1466_cardiotocography.csv,0.1,0.10581799999999943,0.10338933333333286,0.005817999999999421,0.0033893333333328557,0.057999999999999996,100,0.08086836,0.6510120143289704
1466_cardiotocography.csv,0.15,0.1377049999999995,0.1303496666666664,0.0122950000000005,0.019650333333333603,0.069,100,0.11702450111111114,0.9036835778639067
1466_cardiotocography.csv,0.2,0.18581633333333203,0.1601053333333326,0.014183666666667982,0.03989466666666741,0.09199999999999997,100,0.14359267111111113,0.8948001150076876
1466_cardiotocography.csv,0.25,0.23619999999999824,0.2353609999999983,0.013800000000001755,0.014639000000001706,0.16500000000000004,100,0.16939373777777778,0.9203489612890787
1466_cardiotocography.csv,0.3,0.2861429999999999,0.2802010000000002,0.013857000000000064,0.01979899999999979,0.17300000000000004,100,0.17961370111111108,1.1788066029576565
1466_cardiotocography.csv,0.35,0.3370306666666647,0.33895566666666493,0.012969333333335276,0.011044333333335044,0.19900000000000007,100,0.1912683322222222,1.3479268986279336
1466_cardiotocography.csv,0.4,0.39009233333333143,0.3900926666666647,0.00990766666666859,0.009907333333335322,0.18699999999999994,100,0.21934008333333335,1.0157938489862195
