Dataset,Prev_Real,Prev_Alvo,Regressor,DySsyn,Erro_Regressor,Erro_DySsyn,Tempo_Regressor,Tempo_DySsyn,Tempo_Médio_Regressor,Tempo_Médio_DySsyn
balance.3,0.545,0.5499999999999999,0.5299733333333317,0.5204902981557996,0.015026666666668298,0.024509701844200427,0.021995300000071438,0.18017620000000534,0.020515915789533927,0.22656696578945612
balance.3,0.6,0.6,0.5551199999999987,0.5462128452608851,0.04488000000000125,0.053787154739114884,0.02143449999994118,0.21695769999996628,0.020515915789533927,0.22656696578945612
balance.3,0.65,0.65,0.605006666666667,0.5815580146662516,0.044993333333333,0.06844198533374846,0.014527999999700114,0.223893599999883,0.020515915789533927,0.22656696578945612
balance.3,0.7,0.7,0.6540466666666657,0.6536099188882767,0.04595333333333429,0.04639008111172327,0.01917039999989356,0.2109875999999531,0.020515915789533927,0.22656696578945612
balance.3,0.75,0.75,0.6773766666666657,0.6322723551366702,0.07262333333333426,0.11772764486332976,0.015963299999839364,0.20747789999995803,0.020515915789533927,0.22656696578945612
balance.3,0.8,0.7999999999999999,0.7558566666666633,0.7483793842193244,0.044143333333336754,0.05162061578067567,0.019648200000119687,0.2500967999999375,0.020515915789533927,0.22656696578945612
balance.3,0.85,0.85,0.7991133333333332,0.8206217209742573,0.05088666666666675,0.029378279025742637,0.016580900000008114,0.21222050000005765,0.020515915789533927,0.22656696578945612
balance.3,0.9,0.9,0.8081533333333337,0.8151849393573909,0.0918466666666663,0.08481506064260913,0.01873650000015914,0.20661969999991925,0.020515915789533927,0.22656696578945612
balance.3,0.95,0.95,0.9226166666666686,0.9231057769431953,0.027383333333331317,0.026894223056804667,0.029371999999966647,0.23092980000001262,0.020515915789533927,0.22656696578945612
balance.3,0.05,0.05,0.04001999999999995,0.03781849846543424,0.009980000000000051,0.012181501534565764,0.02247140000008585,0.2224874000003183,0.020515915789533927,0.22656696578945612
balance.3,0.1,0.1,0.09793999999999989,0.0987070474120735,0.0020600000000001173,0.0012929525879264991,0.013304900000093767,0.1980797999999595,0.020515915789533927,0.22656696578945612
balance.3,0.15,0.15,0.16827333333333377,0.10450983358104154,0.01827333333333378,0.04549016641895845,0.021691200000077515,0.2553677000000789,0.020515915789533927,0.22656696578945612
balance.3,0.2,0.2,0.22338333333333352,0.1922034452782947,0.023383333333333506,0.007796554721705318,0.015338600000177394,0.2377667000000656,0.020515915789533927,0.22656696578945612
balance.3,0.25,0.25,0.2495233333333335,0.25762693057740765,0.0004766666666664865,0.0076269305774076535,0.01635870000018258,0.21153510000021924,0.020515915789533927,0.22656696578945612
balance.3,0.3,0.3,0.2831533333333331,0.29462689267132625,0.0168466666666669,0.005373107328673743,0.02073580000023867,0.21559489999981452,0.020515915789533927,0.22656696578945612
balance.3,0.35,0.35,0.34924333333333235,0.3665858157330692,0.0007566666666676269,0.01658581573306922,0.022701500000039232,0.25309409999999843,0.020515915789533927,0.22656696578945612
balance.3,0.4,0.39999999999999997,0.3860466666666664,0.3813811267195358,0.013953333333333595,0.018618873280464243,0.021480700000211073,0.19339429999990898,0.020515915789533927,0.22656696578945612
balance.3,0.445,0.44999999999999996,0.41679666666666537,0.4198983200964821,0.028203333333334635,0.025101679903517915,0.014344199999868579,0.2142785000000913,0.020515915789533927,0.22656696578945612
balance.3,0.495,0.49999999999999994,0.47284666666666786,0.4863877788336114,0.022153333333332137,0.0086122211663886,0.022139100000003964,0.2185882999997375,0.020515915789533927,0.22656696578945612
balance.3,0.545,0.5499999999999999,0.5281766666666651,0.5014551321211677,0.016823333333334967,0.04354486787883238,0.020196100000248407,0.20370279999997365,0.020515915789533927,0.22656696578945612
balance.3,0.6,0.6,0.5925000000000008,0.5760562333321856,0.007499999999999174,0.023943766667814392,0.010847300000023097,0.2205959000002622,0.020515915789533927,0.22656696578945612
balance.3,0.65,0.65,0.6019566666666673,0.5953512192741629,0.04804333333333277,0.05464878072583712,0.023965700000189827,0.24524800000017422,0.020515915789533927,0.22656696578945612
balance.3,0.7,0.7,0.6672933333333322,0.6472848807132409,0.03270666666666777,0.05271511928675909,0.026723200000105862,0.22585069999968255,0.020515915789533927,0.22656696578945612
balance.3,0.75,0.75,0.681106666666666,0.6796482322801013,0.06889333333333403,0.0703517677198987,0.01585320000003776,0.20559569999977612,0.020515915789533927,0.22656696578945612
balance.3,0.8,0.7999999999999999,0.748976666666664,0.7312152107111257,0.051023333333336085,0.06878478928887433,0.030568399999992835,0.2309212000000116,0.020515915789533927,0.22656696578945612
balance.3,0.85,0.85,0.7886133333333335,0.8027468018036144,0.06138666666666648,0.047253198196385626,0.026057900000068912,0.2446141999998872,0.020515915789533927,0.22656696578945612
balance.3,0.9,0.9,0.8244599999999991,0.8515810953688268,0.07554000000000094,0.048418904631173265,0.023118300000078307,0.22794859999976325,0.020515915789533927,0.22656696578945612
balance.3,0.95,0.95,0.9191166666666678,0.9105167595893422,0.030883333333332152,0.03948324041065776,0.01782709999997678,0.20873729999993884,0.020515915789533927,0.22656696578945612
breast-cancer,0.05,0.05,0.06573333333333317,0.052575211137659936,0.01573333333333317,0.002575211137659933,0.021404299999630894,0.27026249999971697,0.020723421052599934,0.21806514999998158
breast-cancer,0.1,0.1,0.1532200000000003,0.10322273057995562,0.053220000000000295,0.0032227305799556183,0.01751909999984491,0.23118029999977807,0.020723421052599934,0.21806514999998158
breast-cancer,0.15,0.15,0.18205666666666717,0.13352585791796956,0.03205666666666718,0.016474142082030435,0.025993999999627704,0.22002640000027895,0.020723421052599934,0.21806514999998158
breast-cancer,0.2,0.2,0.20891666666666717,0.18052979960695464,0.008916666666667156,0.019470200393045367,0.014856999999665277,0.2309104999999363,0.020723421052599934,0.21806514999998158
breast-cancer,0.25,0.25,0.23674666666666666,0.12771818353505193,0.01325333333333334,0.12228181646494807,0.02323309999974299,0.21602029999985461,0.020723421052599934,0.21806514999998158
